Nr;Start;Ziel;Volumen;Hub1;Hub2
1;b_1;b_21;1;;
2;b_39;b_6;1;;
3;b_17;b_18;1;;
4;b_22;b_44;1;;
5;b_3;b_33;1;;
6;b_46;b_16;1;;
7;b_37;b_40;1;;
8;b_23;b_25;1;;
9;b_18;b_47;1;;
10;b_49;b_0;1;;
11;b_4;b_48;1;;
12;b_41;b_36;1;;
13;b_30;b_9;1;;
14;b_25;b_5;1;;
15;b_1;b_43;1;;
16;b_32;b_4;1;;
17;b_22;b_16;1;;
18;b_23;b_29;1;;
19;b_1;b_40;1;;
20;b_42;b_12;1;;
21;b_10;b_30;1;;
22;b_41;b_10;1;;
23;b_32;b_35;1;;
24;b_38;b_35;1;;
25;b_12;b_36;1;;
26;b_37;b_31;1;;
27;b_12;b_29;1;;
28;b_35;b_10;1;;
29;b_30;b_15;1;;
30;b_19;b_29;1;;
31;b_37;b_28;1;;
32;b_37;b_47;1;;
33;b_42;b_5;1;;
34;b_16;b_3;1;;
35;b_7;b_45;1;;
36;b_13;b_14;1;;
37;b_3;b_21;1;;
38;b_42;b_48;1;;
39;b_26;b_47;1;;
40;b_30;b_12;1;;
41;b_28;b_48;1;;
42;b_49;b_18;1;;
43;b_14;b_27;1;;
44;b_42;b_37;1;;
45;b_11;b_1;1;;
46;b_36;b_18;1;;
47;b_41;b_6;1;;
48;b_7;b_14;1;;
49;b_40;b_39;1;;
50;b_40;b_7;1;;
51;b_25;b_46;1;;
52;b_15;b_44;1;;
53;b_12;b_37;1;;
54;b_27;b_8;1;;
55;b_15;b_49;1;;
56;b_5;b_12;1;;
57;b_21;b_30;1;;
58;b_23;b_46;1;;
59;b_18;b_9;1;;
60;b_21;b_19;1;;
61;b_38;b_24;1;;
62;b_39;b_48;1;;
63;b_40;b_8;1;;
64;b_10;b_46;1;;
65;b_8;b_30;1;;
66;b_33;b_10;1;;
67;b_38;b_49;1;;
68;b_19;b_49;1;;
69;b_8;b_25;1;;
70;b_49;b_13;1;;
71;b_16;b_18;1;;
72;b_26;b_19;1;;
73;b_16;b_34;1;;
74;b_24;b_32;1;;
75;b_26;b_24;1;;
76;b_24;b_13;1;;
77;b_18;b_34;1;;
78;b_10;b_35;1;;
79;b_0;b_43;1;;
80;b_27;b_33;1;;
81;b_46;b_45;1;;
82;b_11;b_48;1;;
83;b_33;b_17;1;;
84;b_40;b_37;1;;
85;b_14;b_45;1;;
86;b_46;b_25;1;;
87;b_42;b_1;1;;
88;b_13;b_31;1;;
89;b_42;b_22;1;;
90;b_19;b_3;1;;
91;b_26;b_36;1;;
92;b_42;b_32;1;;
93;b_24;b_46;1;;
94;b_25;b_13;1;;
95;b_41;b_26;1;;
96;b_24;b_15;1;;
97;b_14;b_13;1;;
98;b_15;b_3;1;;
99;b_5;b_31;1;;
100;b_44;b_1;1;;
101;b_33;b_6;1;;
102;b_13;b_27;1;;
103;b_9;b_21;1;;
104;b_12;b_6;1;;
105;b_24;b_14;1;;
106;b_44;b_33;1;;
107;b_27;b_42;1;;
108;b_25;b_15;1;;
109;b_34;b_31;1;;
110;b_42;b_20;1;;
111;b_20;b_15;1;;
112;b_32;b_37;1;;
113;b_17;b_21;1;;
114;b_11;b_46;1;;
115;b_42;b_24;1;;
116;b_29;b_45;1;;
117;b_46;b_48;1;;
118;b_45;b_37;1;;
119;b_6;b_37;1;;
120;b_8;b_16;1;;
121;b_2;b_22;1;;
122;b_21;b_11;1;;
123;b_47;b_12;1;;
124;b_35;b_7;1;;
125;b_40;b_16;1;;
126;b_25;b_8;1;;
127;b_36;b_46;1;;
128;b_38;b_36;1;;
129;b_16;b_9;1;;
130;b_7;b_31;1;;
131;b_4;b_15;1;;
132;b_14;b_35;1;;
133;b_0;b_17;1;;
134;b_41;b_8;1;;
135;b_45;b_48;1;;
136;b_7;b_23;1;;
137;b_25;b_31;1;;
138;b_11;b_17;1;;
139;b_45;b_27;1;;
140;b_34;b_8;1;;
141;b_19;b_28;1;;
142;b_1;b_33;1;;
143;b_46;b_17;1;;
144;b_0;b_32;1;;
145;b_47;b_24;1;;
146;b_17;b_6;1;;
147;b_4;b_1;1;;
148;b_36;b_30;1;;
149;b_49;b_17;1;;
150;b_5;b_10;1;;
151;b_6;b_3;1;;
152;b_6;b_4;1;;
153;b_35;b_23;1;;
154;b_39;b_27;1;;
155;b_10;b_8;1;;
156;b_26;b_9;1;;
157;b_18;b_25;1;;
158;b_32;b_49;1;;
159;b_15;b_24;1;;
160;b_17;b_8;1;;
161;b_43;b_16;1;;
162;b_41;b_48;1;;
163;b_3;b_38;1;;
164;b_48;b_4;1;;
165;b_20;b_12;1;;
166;b_33;b_47;1;;
167;b_19;b_34;1;;
168;b_35;b_25;1;;
169;b_33;b_15;1;;
170;b_28;b_44;1;;
171;b_20;b_37;1;;
172;b_39;b_1;1;;
173;b_49;b_43;1;;
174;b_47;b_11;1;;
175;b_20;b_48;1;;
176;b_25;b_24;1;;
177;b_0;b_38;1;;
178;b_1;b_6;1;;
179;b_49;b_36;1;;
180;b_43;b_48;1;;
181;b_20;b_14;1;;
182;b_41;b_1;1;;
183;b_44;b_47;1;;
184;b_20;b_7;1;;
185;b_46;b_43;1;;
186;b_46;b_37;1;;
187;b_31;b_43;1;;
188;b_22;b_15;1;;
189;b_39;b_13;1;;
190;b_5;b_6;1;;
191;b_34;b_20;1;;
192;b_44;b_42;1;;
193;b_1;b_38;1;;
194;b_3;b_39;1;;
195;b_31;b_22;1;;
196;b_3;b_34;1;;
197;b_4;b_22;1;;
198;b_8;b_1;1;;
199;b_39;b_17;1;;
200;b_44;b_48;1;;
201;b_35;b_48;1;;
202;b_19;b_45;1;;
203;b_29;b_8;1;;
204;b_19;b_8;1;;
205;b_10;b_34;1;;
206;b_44;b_34;1;;
207;b_47;b_39;1;;
208;b_36;b_47;1;;
209;b_46;b_1;1;;
210;b_2;b_7;1;;
211;b_24;b_8;1;;
212;b_43;b_12;1;;
213;b_37;b_12;1;;
214;b_41;b_19;1;;
215;b_39;b_19;1;;
216;b_3;b_37;1;;
217;b_21;b_12;1;;
218;b_40;b_0;1;;
